Time, In, Type, Out, Served, Server, Current Jobs
1.0554247229272786, 1, 1, , , , 1
2.484225110254233, 2, 2, , , , 2
2.5479590823265035, , , , 2, 2, 2
2.581779847355814, , , 2, , 3, 1
2.6572727789660813, 3, 1, , , , 2
4.537794308964453, , , , 1, 1, 2
5.214233780192006, , , 1, , 3, 1
6.129281483205207, 4, 3, , , , 2
6.306469557489933, 5, 1, , , , 3
7.580219107963181, , , , 5, 2, 3
7.710516504780079, , , , 3, 1, 3
8.934481840695678, , , 5, , 3, 2
9.088158701386716, , , 3, , 3, 1
11.39887384205866, , , , 4, 1, 1
12.223620132363681, , , 4, , 3, 0
